127.0.0.1 - - [05/Apr/2022:09:53:54 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:53:56 +0300] "GET /EkaKysely/Kysy.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:53:56 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:54:09 +0300] "GET /EkaKysely/nayta.jsp? HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:54:26 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:54:58 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:30:12 +0300] "GET /EkaKysely/Kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:30:53 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:32:09 +0300] "GET /EkaKysely/Kysy.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:32:42 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:34:39 +0300] "GET /EkaKysely/Kysy.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:38:15 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:38:32 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:39:40 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:39:52 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 500 2608
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:44:12 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:44:35 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 500 2608
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:48:33 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:48:46 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 500 2256
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:49:24 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:49:38 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:49:38 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:51:51 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:52:25 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:52:25 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
